iter	Passed	Remaining
187	74820	721139
188	75352	722031
189	75771	721821
190	76164	721366
191	76562	720965
192	76939	720363
193	77357	720138
194	77758	719766
195	78116	718994
196	78583	719215
197	79043	719372
198	79446	719011
199	79918	719268
200	80283	718559
201	80731	718589
202	81135	718232
203	81523	717729
204	81870	716867
205	82312	716839
206	82809	717280
207	83251	717241
208	83687	717153
209	84167	717425
210	84593	717241
211	84933	716322
212	85337	715956
213	85868	716637
214	86184	715534
215	86617	715399
216	87054	715288
217	87449	714836
218	87894	714793
219	88353	714857
220	88815	714945
221	89156	714058
222	89531	713442
223	89896	712752
224	90273	712156
225	90679	711790
226	91129	711770
227	91459	710817
228	91850	710337
229	92257	709982
230	92696	709870
231	93202	710264
232	93598	709819
233	93908	708727
234	94272	708047
235	94644	707425
236	95072	707225
237	95510	707097
238	95857	706299
239	96253	705861
240	96719	705934
241	97241	706404
242	97602	705711
243	98045	705602
244	98462	705315
245	98911	705250
246	99364	705209
247	99731	704557
248	100123	704083
249	100611	704279
250	100987	703692
251	101394	703320
252	101852	703305
253	102267	702991
254	102765	703236
255	103120	702509
256	103379	701131
257	103740	700450
258	104109	699822
259	104453	699032
260	104917	699046
261	105335	698755
262	105760	698500
263	106146	697995
264	106621	698070
265	107110	698231
266	107539	697997
267	107916	697427
268	108317	697015
269	108674	696319
270	109066	695850
271	109508	695700
272	109887	695146
273	110324	694963
274	110759	694762
275	110959	693095
276	111402	692944
277	111787	692436
278	112144	691756
279	112602	691700
280	113106	691918
281	113540	691711
282	113968	691460
283	114373	691074
284	114757	690556
285	115217	690499
286	115658	690324
287	116092	690105
288	116553	690042
289	117029	690071
290	117539	690289
291	117974	690068
292	118390	689737
293	118827	689522
294	119200	688939
295	119584	688419
296	120015	688171
297	120508	688272
298	120904	687821
299	121425	688079
300	121822	687626
301	122225	687213
302	122695	687174
303	123148	687041
304	123513	686408
305	123882	685804
306	124287	685402
307	124687	684971
308	125108	684653
309	125576	684595
310	125947	684003
311	126312	683380
312	126761	683214
313	127264	683336
314	127690	683040
315	128154	682948
316	128591	682709
317	129023	682443
318	129484	682330
319	129956	682269
320	130393	682028
321	130770	681468
322	131263	681512
323	131472	680086
324	131728	678905
325	132115	678407
326	132510	677953
327	132935	677646
328	133291	676989
329	133808	677151
330	134244	676901
331	134630	676394
332	135030	675963
333	135450	675630
334	135892	675406
335	136285	674940
336	136765	674897
337	137155	674414
338	137550	673956
339	137856	673066
340	138268	672688
341	138688	672355
342	138953	671272
343	139403	671084
344	139879	671013
345	140255	670469
346	140649	670009
347	141173	670169
348	141610	669909
349	141925	669078
350	142312	668585
351	142727	668225
352	143129	667800
353	143603	667715
354	144075	667618
355	144475	667183
356	144898	666858
357	145378	666790
358	145776	666346
359	146197	666011
360	146604	665609
361	147033	665304
362	147528	665302
363	147960	665009
364	148329	664433
365	148763	664152
366	149211	663931
367	149712	663940
368	150150	663672
369	150571	663326
370	151027	663137
371	151487	662962
372	151931	662713
373	152335	662290
374	152721	661794
375	153127	661382
376	153479	660735
377	153863	660227
378	154255	659758
379	154648	659291
380	155083	659001
381	155516	658703
382	155872	658084
383	156334	657907
384	156703	657341
385	156889	656010
386	157248	655406
387	157676	655090
388	158020	654424
389	158454	654130
390	158885	653826
391	159254	653270
392	159696	653007
393	160061	652433
394	160482	652086
395	160887	651677
396	161340	651457
397	161780	651188
398	162210	650872
399	162698	650794
400	163149	650564
401	163549	650131
402	164010	649937
403	164443	649634
404	164828	649138
405	165267	648859
406	165701	648555
407	166107	648145
408	166386	647240
409	166749	646662
410	167204	646441
411	167591	645960
412	168039	645709
413	168506	645532
414	168958	645297
415	169370	644910
416	169778	644507
417	170087	643729
418	170578	643636
419	170979	643210
420	171436	642989
421	171853	642616
422	172290	642321
423	172756	642132
424	173269	642114
425	173702	641801
426	174203	641736
427	174613	641337
428	175081	641148
429	175542	640935
430	175970	640597
431	176369	640157
432	176534	638868
433	176902	638314
434	177345	638037
435	177792	637768
436	178174	637268
437	178644	637083
438	178852	635965
439	179181	635280
440	179612	634955
441	180037	634611
442	180436	634174
443	180929	634067
444	181324	633618
445	181714	633147
446	182068	632555
447	182493	632208
448	183025	632232
449	183403	631723
450	183827	631371
451	184285	631136
452	184759	630955
453	185209	630693
454	185558	630082
455	185993	629767
456	186443	629500
457	186860	629123
458	187318	628884
459	187712	628429
460	188167	628178
461	188649	628016
462	189067	627637
463	189478	627239
464	189780	626479
465	190175	626027
466	190559	625540
467	190987	625197
468	191407	624830
469	191772	624281
470	192163	623818
471	192651	623668
472	193059	623260
473	193510	622988
474	193961	622717
475	194267	621982
476	194708	621679
477	195153	621387
478	195604	621115
479	196087	620945
480	196445	620375
481	196820	619861
482	197222	619432
483	197536	618730
484	198027	618579
485	198451	618222
486	198870	617846
487	199086	616842
488	199559	616635
489	200052	616487
490	200530	616293
491	200981	616017
492	201407	615660
493	201789	615173
494	202217	614822
495	202663	614526
496	202877	613532
497	203196	612854
498	203564	612325
499	203940	611821
500	204426	611647
501	204843	611266
502	205261	610888
503	205677	610503
504	206153	610296
505	206560	609883
506	207031	609659
507	207489	609397
508	207928	609079
509	208330	608652
510	208818	608476
511	209257	608154
512	209757	608010
513	210222	607762
514	210682	607502
515	211115	607160
516	211551	606829
517	211999	606530
518	212437	606202
519	212908	605970
520	213402	605801
521	213830	605443
522	214249	605060
523	214698	604761
524	215102	604335
525	215569	604087
526	216022	603797
527	216410	603326
528	216887	603104
529	217340	602813
530	217805	602554
531	218298	602371
532	218628	601739
533	219110	601529
534	219545	601185
535	220014	600935
536	220436	600557
537	220852	600161
538	221302	599855
539	221739	599518
540	222182	599195
541	222583	598757
542	223028	598440
543	223363	597826
544	223706	597233
545	224160	596940
546	224548	596468
547	224996	596159
548	225369	595649
549	225824	595354
550	226246	594976
551	226668	594594
552	227190	594475
553	227658	594213
554	228115	593923
555	228561	593603
556	229068	593439
557	229529	593157
558	230028	592971
559	230472	592642
560	230946	592393
561	231245	591693
562	231663	591298
563	232101	590953
564	232563	590670
565	233029	590396
566	233495	590121
567	233924	589752
568	234338	589346
569	234786	589025
570	235312	588898
571	235757	588569
572	236296	588473
573	236826	588353
574	237246	587959
575	237698	587643
576	238148	587321
577	238593	586989
578	239025	586623
579	239403	586127
580	239803	585682
581	240238	585322
582	240717	585072
583	241117	584628
584	241547	584256
585	241917	583738
586	242355	583387
587	242762	582959
588	243212	582637
589	243689	582377
590	244206	582210
591	244657	581887
592	245229	581852
593	245708	581591
594	246113	581158
595	246617	580957
596	247088	580677
597	247584	580456
598	248105	580292
599	248586	580034
600	249058	579754
601	249588	579608
602	250064	579337
603	250481	578927
604	250898	578518
605	251336	578156
606	251721	577673
607	252180	577360
608	252624	577011
609	253072	576672
610	253462	576202
611	253920	575885
612	254324	575445
613	254815	575202
614	255278	574895
615	255703	574502
616	256159	574179
617	256665	573966
618	257102	573600
619	257618	573408
620	258090	573118
621	258574	572854
622	259101	572685
623	259575	572396
624	260039	572087
625	260477	571719
626	260931	571385
627	261337	570947
628	261878	570804
629	262326	570456
630	262745	570045
631	263138	569579
632	263699	569475
633	264166	569166
634	264569	568720
635	265036	568411
636	265519	568137
637	266006	567869
638	266439	567487
639	266903	567169
640	267390	566900
641	267870	566617
642	268344	566318
643	268841	566070
644	269375	565896
645	269867	565636
646	270343	565339
647	270834	565075
648	271309	564774
649	271808	564524
650	272239	564132
651	272665	563731
652	273144	563439
653	273591	563079
654	274059	562763
655	274536	562465
656	274824	561779
657	275225	561325
658	275656	560933
659	276171	560711
660	276631	560378
661	277135	560130
662	277605	559816
663	278180	559712
664	278671	559438
665	279120	559079
666	279669	558919
667	280178	558679
668	280579	558222
669	281094	557994
670	281550	557646
671	282033	557351
672	282580	557182
673	283045	556851
674	283702	556897
675	284154	556538
676	284726	556414
677	285257	556209
678	285677	555787
679	286186	555538
680	286596	555097
681	287042	554723
682	287630	554626
683	288126	554348
684	288640	554105
685	289115	553787
686	289599	553484
687	289998	553020
688	290506	552763
689	291002	552483
690	291507	552218
691	291975	551885
692	292490	551637
693	293037	551450
694	293557	551212
695	293959	550751
696	294458	550471
697	294887	550061
698	295425	549854
699	295850	549437
700	296406	549260
701	296819	548819
702	297368	548630
703	297854	548323
704	298304	547949
705	298758	547582
706	299202	547197
707	299890	547258
708	300337	546876
709	300809	546541
710	301238	546126
711	301783	545922
712	302242	545563
713	302676	545157
714	303127	544781
715	303699	544622
716	304123	544199
717	304621	543906
718	305147	543662
719	305660	543395
720	306217	543206
721	306644	542787
722	307078	542377
723	307492	541933
724	307964	541591
725	308564	541475
726	309045	541147
727	309550	540863
728	310026	540526
729	310497	540180
730	311030	539942
731	311532	539648
732	312130	539521
733	312680	539310
734	313222	539083
735	313780	538883
736	314274	538573
737	314774	538272
738	315242	537916
739	315771	537665
740	316313	537433
741	316725	536981
742	317225	536679
743	317719	536364
744	318220	536062
745	318698	535720
746	319197	535414
747	319736	535174
748	320258	534904
749	320774	534624
750	321325	534402
751	321771	534004
752	322291	533728
753	322700	533268
754	323210	532976
755	323724	532689
756	324266	532447
757	324707	532040
758	325154	531643
759	325645	531316
760	326088	530911
761	326593	530606
762	327053	530229
763	327595	529984
764	328093	529667
765	328602	529366
766	329060	528984
767	329543	528642
768	330036	528316
769	330537	528002
770	331077	527749
771	331580	527436
772	332099	527148
773	332530	526720
774	332931	526245
775	333402	525882
776	333926	525600
777	334377	525204
778	334854	524848
779	335343	524511
780	335858	524214
781	336370	523912
782	336971	523746
783	337416	523340
784	337905	523000
785	338337	522572
786	338900	522345
787	339375	521984
788	339799	521543
789	340392	521361
790	340854	520977
791	341243	520482
792	341703	520096
793	342158	519701
794	342637	519343
795	343105	518968
796	343686	518763
797	344208	518468
798	344737	518185
799	345170	517755
800	345730	517516
801	346271	517248
802	346733	516862
803	347213	516501
804	347684	516127
805	348146	515741
806	348694	515479
807	349144	515074
808	349631	514723
809	350121	514376
810	350662	514103
811	351185	513803
812	351700	513491
813	352234	513206
814	352723	512856
815	353267	512583
816	353821	512327
817	354341	512018
818	354786	511602
819	355451	511503
820	355923	511125
821	356495	510890
822	356930	510458
823	357437	510129
824	357863	509684
825	358328	509294
826	358785	508894
827	359296	508569
828	359713	508111
829	360152	507685
830	360739	507466
831	361192	507058
832	361590	506573
833	362089	506230
834	362528	505803
835	362963	505370
836	363359	504883
837	363722	504350
838	364138	503890
839	364530	503398
840	364954	502952
841	365450	502602
842	365757	501993
843	366213	501591
844	366638	501145
845	367087	500731
846	367426	500168
847	367714	499537
848	368198	499170
849	368704	498835
850	369196	498480
851	369665	498093
852	370189	497781
853	370659	497395
854	371114	496990
855	371577	496594
856	372113	496296
857	372575	495899
858	373017	495474
859	373536	495153
860	373897	494622
861	374393	494268
862	374829	493836
863	375285	493430
864	375746	493031
865	376331	492794
866	376807	492414
867	377304	492060
868	377767	491662
869	378077	491066
870	378564	490699
871	378968	490224
872	379364	489740
873	379892	489426
874	380341	489010
875	380748	488540
876	381156	488070
877	381629	487686
878	381990	487157
879	382435	486736
880	382972	486431
881	383498	486113
882	383958	485709
883	384402	485286
884	384952	484996
885	385422	484606
886	386033	484391
887	386589	484107
888	387135	483810
889	387638	483459
890	388069	483017
891	388546	482633
892	389041	482272
893	389465	481822
894	389958	481456
895	390368	480989
896	390849	480610
897	391326	480224
898	391784	479815
899	392238	479403
900	392701	479000
901	393090	478506
902	393486	478022
903	393903	477563
904	394311	477094
905	394589	476469
906	394959	475954
907	395354	475469
908	395818	475069
909	396151	474511
910	396546	474028
911	397016	473633
912	397520	473279
913	398010	472909
914	398445	472473
915	398854	472006
916	399306	471590
917	399731	471143
918	400243	470798
919	400698	470385
920	401175	469997
921	401606	469557
922	401981	469051
923	402513	468728
924	402959	468304
925	403399	467874
926	403887	467498
927	404348	467091
928	404766	466636
929	405226	466228
930	405673	465805
931	405927	465161
932	406292	464645
933	406724	464205
934	407052	463648
935	407475	463198
936	407932	462787
937	408226	462191
938	408628	461719
939	408981	461191
940	409281	460604
941	409858	460328
942	410304	459906
943	410717	459446
944	411170	459031
945	411702	458704
946	412202	458341
947	412715	457992
948	413187	457598
949	413586	457122
950	414020	456685
951	414425	456215
952	414956	455885
953	415380	455438
954	415871	455063
955	416388	454717
956	416853	454313
957	417412	454012
958	417898	453631
959	418385	453250
960	418864	452861
961	419308	452434
962	419767	452023
963	420226	451613
964	420720	451238
965	421160	450807
966	421636	450414
967	422076	449982
968	422484	449516
969	422899	449057
970	423301	448585
971	423839	448258
972	424238	447783
973	424638	447309
974	425110	446911
975	425532	446459
976	425910	445963
977	426408	445592
978	426828	445139
979	427277	444717
980	427738	444307
981	428163	443860
982	428680	443507
983	429284	443245
984	429759	442848
985	430257	442476
986	430769	442117
987	431206	441681
988	431726	441330
989	432264	440997
990	432675	440534
991	433029	440014
992	433427	439538
993	433802	439039
994	434181	438544
995	434621	438112
996	435098	437717
997	435594	437340
998	436057	436930
999	436457	436457
1000	436935	436062
1001	437393	435647
1002	437715	435096
1003	438247	434754
1004	438707	434341
1005	439183	433945
1006	439613	433501
1007	440006	433022
1008	440494	432636
1009	440933	432202
1010	441392	431787
1011	441778	431301
1012	442203	430854
1013	442661	430438
1014	443100	430004
1015	443552	429582
1016	444006	429162
1017	444404	428688
1018	444900	428309
1019	445389	427922
1020	445960	427615
1021	446445	427224
1022	446850	426757
1023	447330	426362
1024	447772	425930
1025	448267	425547
1026	448718	425125
1027	449179	424710
1028	449631	424287
1029	450217	423991
1030	450726	423621
1031	451185	423205
1032	451426	422583
1033	451921	422201
1034	452470	421868
1035	453010	421527
1036	453444	421086
1037	453895	420662
1038	454333	420225
1039	454833	419846
1040	455328	419461
1041	455831	419085
1042	456340	418712
1043	456757	418257
1044	457206	417829
1045	457694	417438
1046	458131	417000
1047	458494	416495
1048	458947	416071
1049	459391	415640
1050	459863	415233
1051	460324	414816
1052	460788	414402
1053	461266	414002
1054	461652	413518
1055	462142	413127
1056	462563	412674
1057	463042	412274
1058	463536	411886
1059	464013	411483
1060	464518	411105
1061	464992	410699
