iter	RMSE
488	0.1462986571
489	0.1462405558
490	0.1461688268
491	0.146132116
492	0.1460988814
493	0.1460127521
494	0.1459155271
495	0.1458765734
496	0.1457692297
497	0.1457269968
498	0.1456613158
499	0.1455909653
500	0.1455809869
501	0.1455628239
502	0.1455024867
503	0.1454821759
504	0.1454241951
505	0.1453893324
506	0.1453205274
507	0.1452946208
508	0.1452550219
509	0.1452233866
510	0.1452207706
511	0.1451452111
512	0.1450962724
513	0.1450646863
514	0.1449995422
515	0.1449577341
516	0.1448817385
517	0.1448493739
518	0.144791686
519	0.1447355123
520	0.1447059691
521	0.1446768356
522	0.1446134719
523	0.1445802449
524	0.1445331433
525	0.1444959317
526	0.1444457198
527	0.1443882454
528	0.1443327522
529	0.1442936599
530	0.1442236993
531	0.1441885256
532	0.1441646303
533	0.1441285792
534	0.1441048098
535	0.1440886198
536	0.1440560113
537	0.1440351158
538	0.1439947873
539	0.1439577093
540	0.143942931
541	0.1439125483
542	0.143872206
543	0.1438586075
544	0.1438402919
545	0.1438223901
546	0.1438028113
547	0.1437868046
548	0.1437782248
549	0.1436109916
550	0.1435608936
551	0.1435133852
552	0.1434921519
553	0.1434472273
554	0.1433717257
555	0.1433307291
556	0.1433031941
557	0.1432819413
558	0.1432429384
559	0.1432201993
560	0.1431197339
561	0.1430953099
562	0.1430456971
563	0.1430035931
564	0.1429451629
565	0.1428920144
566	0.142849984
567	0.1428292557
568	0.142777223
569	0.1427332804
570	0.142709599
571	0.1426759994
572	0.1426686267
573	0.1426573081
574	0.1426039903
575	0.1425593313
576	0.1425031368
577	0.1424263249
578	0.14240104
579	0.1423672708
580	0.1422987139
581	0.1422406495
582	0.1422147832
583	0.1421954653
584	0.1420370981
585	0.1419720827
586	0.1419649292
587	0.1419319137
588	0.1419104102
589	0.1418856054
590	0.1417803156
591	0.1417048005
592	0.1416843533
593	0.1416169891
594	0.1415996997
595	0.1415828642
596	0.1415413133
597	0.1415007525
598	0.1414757678
599	0.1414502084
600	0.1413674908
601	0.1413465955
602	0.1413298844
603	0.1413016221
604	0.1412974477
605	0.1412858983
606	0.1412491561
607	0.1412156481
608	0.1411083773
609	0.141035606
610	0.1409506353
611	0.1409266811
612	0.1408971669
613	0.1408649725
614	0.1408067563
615	0.1407805082
616	0.1407302414
617	0.1407053544
618	0.1406778294
619	0.1406654199
620	0.1406318286
621	0.1406059215
622	0.1405908479
623	0.1405758788
624	0.1405613198
625	0.1405098746
626	0.1404931597
627	0.1404480078
628	0.1404232532
629	0.1403709336
630	0.1403393535
631	0.1402887911
632	0.1402376472
633	0.1402040941
634	0.1401230345
635	0.1400816403
636	0.1400504342
637	0.139948185
638	0.139819663
639	0.1398153042
640	0.1397741805
641	0.1397439028
642	0.1396638398
643	0.1396473646
644	0.1395691572
645	0.1395580102
646	0.1394813827
647	0.1394398418
648	0.1394052102
649	0.1393947742
650	0.1393663739
651	0.1393469326
652	0.1393131807
653	0.1392107652
654	0.1391855954
655	0.1391427339
656	0.1390967898
657	0.1390480891
658	0.1390294689
659	0.138995721
660	0.1389090329
661	0.1388822587
662	0.1388524467
663	0.1388426553
664	0.1388252277
665	0.1387919601
666	0.1387698961
667	0.1387109991
668	0.1386317157
669	0.1385542437
670	0.1385349186
671	0.1384881464
672	0.1384508392
673	0.1383944303
674	0.1383717215
675	0.138285035
676	0.1382182087
677	0.1381822716
678	0.1381671675
679	0.1381186488
680	0.1379947778
681	0.1379408173
682	0.137889531
683	0.1378252126
684	0.137790161
685	0.1377602994
686	0.1377148253
687	0.1376763969
688	0.1376434537
689	0.13756535
690	0.1375395474
691	0.1374398324
692	0.1374007203
693	0.1373763215
694	0.1373299558
695	0.1373116542
696	0.1372823079
697	0.1372274436
698	0.1372072679
699	0.1371536127
700	0.1371122403
701	0.1370942607
702	0.1369996657
703	0.1369663432
704	0.1369162741
705	0.1368612981
706	0.1368269837
707	0.1368150117
708	0.1367823359
709	0.1367454612
710	0.1367048945
711	0.1366297131
712	0.1366219726
713	0.1365637147
714	0.1365278385
715	0.1364852007
716	0.1364608896
717	0.136431114
718	0.13641171
719	0.1363901283
720	0.1363555367
721	0.1362933757
722	0.1362686267
723	0.1362343933
724	0.1361717357
725	0.1361138278
726	0.1360879484
727	0.1360350968
728	0.1359794699
729	0.1359600639
730	0.1359470519
731	0.135922372
732	0.135886877
733	0.1358224217
734	0.1357885662
735	0.1357339785
736	0.1356826843
737	0.1356544607
738	0.135640794
739	0.1356030392
740	0.1355101008
741	0.1354601678
742	0.135416005
743	0.1353434841
744	0.1353092903
745	0.1352650005
746	0.1352252648
747	0.1351827937
748	0.1351620903
749	0.1351140526
750	0.1350598415
751	0.1350549338
752	0.1350143861
753	0.1349911286
754	0.1349222914
755	0.1348803426
756	0.1348590649
757	0.1348154393
758	0.1347623061
759	0.1347128256
760	0.134687324
761	0.1346800508
762	0.1346638673
763	0.1346191923
764	0.134570222
765	0.1345414303
766	0.1345018396
767	0.1344718194
768	0.134420091
769	0.1343952559
770	0.1343570404
771	0.134328675
772	0.1342782316
773	0.134254117
774	0.1341985285
775	0.1341631788
776	0.1341051471
777	0.1340634952
778	0.1340513804
779	0.1340140872
780	0.1339867556
781	0.1339822544
782	0.133970461
783	0.1339314894
784	0.1338736107
785	0.1338222217
786	0.1337716141
787	0.1337543196
788	0.1337388645
789	0.1336823988
790	0.1336385984
791	0.1335767597
792	0.1335269431
793	0.1334893667
794	0.1334636139
795	0.1334429209
796	0.1334177771
797	0.1333680249
798	0.1333118695
799	0.1333040038
800	0.1332464234
801	0.1331767011
802	0.1331540016
803	0.1331195982
804	0.1330646066
805	0.1330362657
806	0.1330180294
807	0.1330000772
808	0.1329559144
809	0.1329248567
810	0.1328881217
811	0.132848669
812	0.1328415428
813	0.1328252228
814	0.1327947254
815	0.1327422861
816	0.1327107679
817	0.1326817695
818	0.1325994085
819	0.1325453879
820	0.1325134643
821	0.1324855208
822	0.1324659311
823	0.1324129574
824	0.1323663146
825	0.132336617
826	0.132296109
827	0.132283806
828	0.1322391351
829	0.1322103175
830	0.1321657014
831	0.1321277989
832	0.1320878029
833	0.1320596774
834	0.1320258295
835	0.1319907863
836	0.1319456649
837	0.1318863476
838	0.1318485657
839	0.1318202878
840	0.1317831627
841	0.1317520365
842	0.1317143841
843	0.1317012865
844	0.1316796199
845	0.1316044476
846	0.1315985626
847	0.1315311069
848	0.1315146948
849	0.131492416
850	0.1314460496
851	0.1314318355
852	0.1314000337
853	0.1313761301
854	0.1313637503
855	0.1312956139
856	0.1312676427
857	0.1312015091
858	0.1311855771
859	0.1311383167
860	0.1310932316
861	0.1310346681
862	0.1310135916
863	0.1309855055
864	0.1309135621
865	0.130908328
866	0.1308676654
867	0.1308441141
868	0.1308186174
869	0.1307747555
870	0.1307207592
871	0.1306834975
872	0.1306532295
873	0.1305871872
874	0.1305713438
875	0.1305346478
876	0.1305179703
877	0.1305052192
878	0.1304554202
879	0.1304348021
880	0.1304013374
881	0.1303850435
882	0.1303603299
883	0.1303338378
884	0.1303116587
885	0.1302833098
886	0.1302579382
887	0.1302392529
888	0.1302029526
889	0.1301815082
890	0.130135553
891	0.130093291
892	0.130057692
893	0.1300239698
894	0.1300013307
895	0.1299966109
896	0.1299769018
897	0.1299645485
898	0.1299431155
899	0.1299275142
900	0.1298974631
901	0.1298926755
902	0.1298778394
903	0.129846441
904	0.1298367667
905	0.1297893865
906	0.1297662324
907	0.1297469001
908	0.1296973268
909	0.1296567602
910	0.1296373144
911	0.1296165543
912	0.1295772928
913	0.1295652354
914	0.1295396604
915	0.1295304297
916	0.129525443
917	0.1294692824
918	0.1294299914
919	0.1293810898
920	0.1293482356
921	0.1293146387
922	0.1292702356
923	0.129219773
924	0.1291912017
925	0.1291673098
926	0.1291388299
927	0.1291056197
928	0.1290818878
929	0.1290472761
930	0.1290148391
931	0.1290045354
932	0.1289855842
933	0.1289662119
934	0.1289317843
935	0.1288897599
936	0.1288561401
937	0.128825007
938	0.1287894331
939	0.1287575595
940	0.128720773
941	0.1286905348
942	0.1286703799
943	0.128645783
944	0.1286390569
945	0.1286263338
946	0.1285940908
947	0.1285331644
948	0.1284824299
949	0.1284621991
950	0.1284524552
951	0.1284244135
952	0.1284060926
953	0.1283549507
954	0.1283500382
955	0.1283200599
956	0.1282752664
957	0.1282485255
958	0.1281998747
959	0.128180633
960	0.1281539497
961	0.1281223371
962	0.1280931328
963	0.1280501206
964	0.1279981315
965	0.1279845873
966	0.1279670969
967	0.1279327747
968	0.1279276453
969	0.1279027738
970	0.1278724629
971	0.1278292622
972	0.1277961955
973	0.1277941251
974	0.1277193914
975	0.1276863452
976	0.1276580697
977	0.1276280587
978	0.127594857
979	0.1275548343
980	0.1275336205
981	0.1275178392
982	0.1274656334
983	0.1274060658
984	0.1273564212
985	0.1273243388
986	0.1273015926
987	0.1272701496
988	0.1272580701
989	0.1272364302
990	0.1272017313
991	0.1271705854
992	0.127155379
993	0.1271286701
994	0.127087544
995	0.127066485
996	0.1270448241
997	0.1270335228
998	0.1270126817
